rdfs:type,depth_1,depth_2,depth_3
dbo:Athlete,1327.5,88198.0,-
dbo:Animal,2279.0,8894.5,318836.5
dbo:Work,2102.0,35105.0,820152.5
dbo:Film,1626.0,95951.5,-
dbo:MusicalWork,1334.5,42972.0,941528.5
dbo:Country,1894.0,113703.5,-
dbo:Street,0,0,0
dbo:Company,1676.0,28591.0,468717.5
dbo:Activity,474.5,47681.0,1567209.5
dbo:Name,1367.0,100962.5,-
dbo:Person,4336.0,186130.5,-
dbo:Actor,461.5,51951.0,1520061.0
dbo:Place,2565.0,109507.5,-
dbo:Publisher,480.5,22814.0,736308.0
dbo:Genre,1039.5,92275.0,-
dbo:Language,2390.0,142561.0,-
dbo:Department,0,0,0
dbo:Software,1467.5,161899.0,-
dbo:School,1193.5,173009.5,-
